Gene name	Mouse gene name	Mouse homology type
KRTAP9-9		
KIR2DL5B		
KIR2DL5B		
LILRP2		
KIR2DS2		
KIR2DL2		
U6		
KIR3DL3		
KIR3DL3		
KIR2DL4		
LILRP2		
KIR2DS2		
KIR2DP1		
KIR2DS4		
KIR3DL2		
KIR2DL1		
KIR3DL3		
KIR3DL1		
KRT20		
KIR2DL1		
KIR2DL4		
NCR1		
KRTAP3-1		
KIR3DP1		
KRTAP3-2		
KIR2DL2		
KRTAP4-9		
KRTAP2-4		
		
KRT23		
KIR2DP1		
PIWIL1		
KIR3DL1		
KIR3DS1		
		
U6		
KIR2DS4		
LILRP2		
KIR2DS4		
SNTG2		
		
KIR3DL3		
U6		
FTCD		
TPO		
		
KIR2DS4		
	Prodh	ortholog_one2many
LILRP2		
KIR3DL2		
KIR2DS1		
KIR3DL3		
KIR3DP1		
		
		
LILRP1		
IMPDH1P5		
KIR2DP1		
KIR2DS5		
FCAR		
U6		
DLG5		
U6		
U6		
		
KRT40		
KIR3DL2		
KIR2DL4		
KIR3DL1		
		
FTCD-AS1		
LSS		
	Dgcr6	ortholog_one2many
		
ADI1		
KRTAP1-1		
TRAPPC12		
		
KIR3DL2		
KRTAP4-11		
		
KRTAP2-5P		
KRTAP1-3		
KRTAP4-16		
KRT12		
U6		
KRTAP1-5		
		
		
KRT39		
KRTAP3-4P		
KRTAP2-1		
KRTAP3-3		
KRTAP2-3		
KRTAP4-12		
KRTAP1-4		
KIR3DL3		
		
KRTAP4-8		
		
		
		
MREGP1		
KIR3DP1		
		
		
KIR3DL2		
ANKRD18DP		
SPATC1L		
KIR2DS4		
U6		
KIR2DL5A		
		
		
NCR1		
KIR2DS1		
		
		
		
U6		
		
		
RNU6-821P		
KIR3DL2		
U6		
KIR2DL1		
SINHCAF		
		
LILRP1		
KIR2DL3		
KIR2DL4		
KIR2DL1		
DHX36		
KIR2DS3		
KIR3DL3		
KIR3DL3		
		
U6		
		
FLJ13224		
NCR1		
		
		
ARHGEF26		
DSEL-AS1		
DSEL		
		
		
KIR3DL2		
KIR2DP1		
		
AP2A2		
		
KIR3DP1		
KIR2DL1		
		
KIR2DS4		
KIR2DL4		
U6		
		
KIR3DL3		
		
		
KIR2DP1		
		
GARRE1		
KIR2DL4		
CTDP1		
LSM14A		
		
DLG5-AS1		
		
ARHGEF26-AS1		
KIR2DS2		
RN7SL284P		
RNU6-1266P		
KIR3DP1		
LILRP2		
KIR2DS4		
KIR2DS4		
U6		
KIR2DL1		
MUC6		
PRB1		
KIR2DL3		
KIR2DS3		
LILRP1		
KIR2DP1		
		
		
KIR3DS1		
KIR2DL4		
RNU6-1025P		
SBNO2		
		
KIR2DP1		
KIR3DL1		
ZNF965P		
GXYLT1P1		
CYP4F34P		
CNN2P12		
SNX18P26		
LINC00328-2P		
ANKRD20A9P		
RNU6-55P		
U6		
Y_RNA		
		
U6		
		
KIR3DL3		
CRIM1		
KIR2DL2		
SUDS3P1		
		
		
RPL21P36		
PROP1		
CRIM1-DT		
LILRP1		
LILRP2		
		
		
SEPTIN9-DT		
KIR2DL1		
		
SEPTIN9		
LILRP2		
		
		
KIR2DS4		
KIR2DS1		
KIR2DL1		
		
ABCB10P1		
GOLGA8DP		
KIR2DL5A		
KIR2DL4		
KIR3DL1		
		
APOBEC3B-AS1		
		
APOBEC3A		
KIR3DL2		
TUBGCP5		
SLC45A2		
		
KRT18P40		
		
KRTAP5-6		
KIR2DL3		
		
ZNF430		
KRTAP5-1		
RXFP3		
KRTAP5-4		
GOLGA6L1		
KIR3DP1		
ADAMTS12		
LILRP2		
KIR3DL2		
U6		
KRTAP5-5		
		
		
KIR3DL1		
		
FAM99A		
		
KRTAP5-2		
		
LINC02708		
DECR2		
ELMO2P1		
KRTAP5-AS1		
LINC02708		
ZNF85		
FAM99B		
		
DUSP8		
FAM99A		
		
		
KRTAP5-3		
Metazoa_SRP		
KRTAP5-4		
ELMO2P1		
FAM99B		
		
GOLGA8DP		
IFITM10		
LINC01659		
KRTAP5-1		
ZDHHC8P1		
KRTAP5-3		
LINC02549		
		
KRTAP5-2		
KRTAP5-5		
U6		
ABCB11		
		
		
BNIP3P24		
KRTAP5-AS1		
		
CES5AP1		
		
ZNF66		
GNG5P1		
CYFIP1		
		
KIR3DL1		
G6PC2		
		
RNU6-222P		
DUSP8		
		
KIR3DL2		
FAM230I		
LINC02557		
AADACL2		
SPC25		
KCNQ2-AS1		
LINC02066		
KIR2DS2		
		
AADACL2-AS1		
KIR3DL2		
KCNQ2		
GART		
PTCHD3		
		
SLC25A51P1		
ADH5P4		
RAB11FIP3		
NOSTRIN		
		
ODAD2P1		
FAM210CP		
		
TRIAP1P1		
U6		
GOLGA6L1		
U6		
		
		
		
		
SMN2		
ABCB10P1		
RPS5P3		
DNAJC28		
		
		
TUBGCP5		
		
		
		
IFNGR2		
		
SKA1		
KIR2DL4		
		
OR2AS2P		
OR2T6		
PAXBP1		
		
LINC00235		
OR2T2		
CAPN15		
MAPK4		
Y_RNA		
OR2T4		
		
KCNIP4		
		
KIR2DS5		
RNA5SP458		
C21orf62		
		
OR2T7		
KIR3DL2		
		
SUDS3P1		
OR2T1		
PROP1		
		
C21orf62-AS1		
OR2T3		
		
KIR3DL3		
LRRC56		
SNTG2		
OR2T5		
TMEM50B		
		
		
		
		
DLGAP2		
CDH12P2		
PMCHL2		
LILRP2		
		
		
		
ERICH1		
KIR3DL3		
GTF2H2		
PHRF1		
KIR2DL3		
FRG1-DT		
U6		
LINC01596		
		
RNU1-51P		
		
MAFIP	Tekt4	ortholog_one2many
		
KIR3DL3		
		
KIR2DS4		
U1	Gm22809	ortholog_one2many
GOLGA6L22		
SNTB2		
RPS6P22		
		
		
LRIG3-DT		
		
		
DLGAP2-AS1		
DLGAP2		
		
U1		
GOLGA8EP		
		
		
UTP4		
		
Metazoa_SRP		
U1		
		
KIR2DS1		
		
KIR2DL5A		
		
HERC2P2		
		
		
LILRP2		
CNTNAP2		
KIR3DS1		
MAD2L1-DT		
HERC2P7		
SPATA31E3P		
		
GOLGA8IP		
	Frg1	ortholog_one2many
		
Metazoa_SRP		
Metazoa_SRP		
U3		
Metazoa_SRP		
Y_RNA		
U6		
OR8U9		
OR8J2		
FAM8A2P		
		
OR8U8		
		
OR8L1P		
NDUFA6-DT		
OR5T3		
OR5T2		
OR8K2P		
OR8I1P		
OR8K3		
OR8H1		
RPL4P5		
ICE2P1		
		
		
LINC01060		
OR5T1		
SMDT1		
RPL5P29		
OR8K1		
KIR2DL4		
OR8J1		
RPS17		
		
NKD2		
		
OLA1P1		
NDUFA6		
CYP2D8P		
CYP2D6		
SDHAP2		
GOLGA8F		
MUC20-OT1		
LINC01194		
CYP2D7		
MUC20-OT1		
LMNTD2		
GOLGA6L10		
MEGF11		
DNM1P38		
SLC12A7		
ABR		
HERC2P11		
TNFRSF14		
CPEB1		
		
		
		
GOLGA8G		
MIR210HG		
		
		
RNH1		
		
		
KIR2DL2		
KIR2DS2		
LILRP1		
U6		
		
DIS3L-AS1		
		
		
SERF1B		
		
CLK2		
		
		
		
NAIP		
		
		
ABCB10P4		
		
		
		
NDUFA6		
		
		
		
		
HERC2		
OLA1P1		
TCF20		
		
		
LILRA4		
		
Metazoa_SRP		
		
		
Metazoa_SRP		
		
NDUFA6		
		
SDHAP2		
TTC34		
MUC20		
MUC20		
KIR2DS1		
SMDT1		
KIR3DL2		
		
SMDT1		
		
MMEL1		
LAIR1		
NDUFA6-DT		
		
		
MUC20-OT1		
		
SDHAP2		
PKLR		
OLA1P1		
CYP2D6		
		
		
MUC4		
		
CYP2D7		
MUC4		
DRD4		
DEAF1		
MUC20-OT1		
MCCC2		
IRF7		
MTX1P1		
		
SCAMP3		
CYP2D8P		
KIR2DL3		
CSPG4P10		
PSMB1		
		
		
		
TIMM22		
FAM120B		
KIR2DS2		
GOLGA6L9		
		
KIR2DL5B		
NXN		
KIR2DS1		
Metazoa_SRP		
KIR2DS3		
		
BDP1		
KIR2DL4		
GOLGA6L17P		
		
		
		
GOLGA2P10		
GBA		
		
		
		
MMEL1-AS1		
HRAS		
PANK4		
GOLGA6L10		
TCF20		
		
LINC00824		
UBE2Q2P6		
KIR2DP1		
		
DLL1		
ADAMTS7P1		
KIR3DL2		
LINC01624		
		
NDUFA6-DT		
UBE2Q2P2		
LMNTD2-AS1		
KIR3DS1		
RASSF7		
		
MUC4		
MUC4		
KIR2DL4		
PLCH2		
CDHR5		
KIR3DL3		
SMN1		
HCN3		
		
		
		
		
UGT2A3		
HES5		
CNOT3		
FAM189B		
TNFRSF14-AS1		
UGT2B27P		
		
		
		
UGT2B29P		
		
LINC02197		
UGT2B10		
DENND11		
PRXL2B		
TARM1		
		
		
VSTM1		
SERF1A		
		
		
		
KIR2DL2		
UGT2B15		
LILRP1		
LENG1		
KIR2DP1		
WEE2-AS1		
LILRA5		
KIR2DL5A		
NLRP7		
		
		
MT2P1		
KIR3DL3		
		
TMPRSS11E		
SSBP1		
VSTM1		
LILRA2		
NCR1		
CTSO		
		
		
		
SCT		
		
YTHDC1		
PTDSS2		
MUC20-OT1		
LILRP2		
		
KIR3DP1		
NLRP2		
KIR2DL1		
TDO2		
U6		
OR2W1		
NOP56P1		
		
		
		
OR14J1		
GP6		
TRIM27		
		
		
		
		
GP6		
AGK		
		
DEFB104B		
WEE2		
		
DEFB105B		
LILRB1		
KIR2DL1		
U6		
MBOAT7		
PRR23D1		
		
		
LILRA3		
U1		
DEFB4B		
TMEM179		
FAM90A7P		
LILRB2		
RPS9		
DEFB103B		
NDUFA3		
HCG14		
		
DEFB108C		
RPL13P		
		
		
FAM90A22P		
		
ZNF311		
OSCAR		
OR7E157P		
HSPD1P3		
FAM90A21P		
ZNF705G		
		
C14orf180		
RDH13		
FAM20C		
DEFB107B		
		
METRNL		
FAM90A6P		
NLRP7		
LINC01623		
LINC01015		
		
NLRP7		
		
SPAG11B		
		
OR2B3		
HCG22		
		
TBCD		
NLRP2		
LST1		
MBOAT7		
DEFB106B		
		
		
		
FAM66B		
TSEN34		
		
MUC20		
FAM90A23P		
KIR3DS1		
POMZP3		
TFPT		
RPS9		
TOMM40P4		
CNOT3		
CDRT15P3		
KIR2DS2		
		
MUC4		
TFPT		
PRAMEF5		
UPK3B		
		
		
PRAMEF22		
PRAMEF18		
		
		
MYL6P5		
		
		
SPDYE16		
		
		
		
B3GNTL1		
PRAMEF8		
		
		
KIR2DS5		
TSEN34		
DTX2		
HNRNPCL2		
PRAMEF25		
FCAR		
OSCAR		
TARM1		
		
HNRNPCL4		
		
PRAMEF33		
PRAMEF9		
		
		
LILRP1		
		
		ortholog_one2many
	Mrpl23	ortholog_one2many
U6		
LILRB1		
		ortholog_one2many
OR2J3		
LENG1		
HLA-H		
MICB		
U6		
RDH13		
		
KIR3DL3		
NDUFA3		
KIR2DS4		
KIR3DL2		
KIR2DS1		
KIR3DL2		
LILRA4		
OR2U2P		
TRIM10		
		
		
LILRB2		
LILRP2		
ATP23		
		
FAM138D		
		
RNA5-8SN4		
FAM189A1		
5_8S_rRNA		
		
		
		
LAIR1		
IQSEC3		
		
		
KIR3DX1		
LINC02403		
		
		
CEACAM4		
MICG		
GIHCG		
RNF39		
RN7SKP65		
		
		
LILRA6		
		
		
CEACAMP3		
ZNF90P2		
APBA2		
DDX11L8		
MUC21		
KIF26B		
PLEKHA3P1		
DNAJC19P2		
		
CEACAM21		
HCG15		
TRIM31-AS1		
TNF		
		
WASH8P		
OR11A1		
		
KIR3DP1		
MOG		
KIR2DL5A		
MUC20		
		
BTG3-AS1		
DNAJC19P3		
BTG3		
		
		
SDHAP2		
LINC01480		
		
CEACAM7		
		
TBX22		
		
		
		
		
		
VSTM1		
		
FCAR		
PTPRN2		
		
HERC2		
MBOAT7		
WHAMMP2		
		
		
		
OSCAR		
		
ABCB10P3		
GOLGA8G		
		
		
		
		
		
C22orf15		
KIR2DL1		
		
FAM20C		
		
CABIN1		
		
TSEN34		
		
		
CXADRP2		
		
		
LINC02203		
		
		
		
MUC20		
		
MAMDC2-AS1		
SMARCB1		
MAMDC2		
		
		
LONRF2P4		
		
		
PRH2		
		
		
U6		
HERC2P1		
GP6		
		
		
OCA2		
		
OR4M2B		
GRAMD4P6		
LILRA6		
NBEAP4		
NF1P9		
		
U2		
		
TAS2R30		
TAS2R19		
TTYH1		
POTEB3		
TAS2R8		
TAS2R7		
NDUFA3		
		
TAS2R50		
TFPT		
		
TAS2R43		
TAS2R14		
NDUFA3		
TAS2R9		
		
RDH13		
TAS2R45		
TAS2R31		
TAS2R13		
TAS2R46		
TAS2R20		
MBOAT7		
TAS2R15P		
		
PRR4		
		
ZFP57		
		
OR2H5P		
		
OR5V1		
RPL5P32		
		
		
GPR53P		
		
U6		
OR2J2		
U6		
		
NLRP2		
KIR2DP1		
PDCD6IPP2		
TMEM183AP1		
HLA-DRB9		
		
		
MSH5-SAPCD1		
SDHAP2		
ABCB10P4		
MIF		
GOLGA8M		
		
DLGAP2-AS1		
		
NSMCE3		
DLGAP2		
		
HERC2P9		
		
RPS9		
		
		
HLA-G		
		
DERL3		
RPL41P2		
KIR3DL2		
		
		
KIR3DL3		
		
		
		
GOLGA8F		
KSR1P1		
IGKV1OR10-1		
		
SMIM10L1		
TAS2R64P		
PABPC1P8		
TRBV11-1		
TAS2R10		
TRBV7-6		
		
U2	U2	ortholog_one2many
CNOT3		
TRBV10-1		
TAS2R63P		
TRBV5-2		
TRBV7-4		
TRBV5-5		
		
		
TRBV11-3		
TRBV1		
LILRB5		
TRBV19		
TRBV12-4		
Metazoa_SRP		
TRBV7-1		
CHRFAM7A		
TRBV25-1		
TRBV17		
SERPINF1		
TRBV5-3		
TRBV7-9		
TRBV5-7		
		
OR10A3		
TRBV27		
RPL32P1		
OR2J1		
TRBV7-2		
OR5P2		
DDX39BP1		
TRBV21-1		
OR5E1P		
SLC2A11		
HCG4P8		
SCARF1		
OR5P3		
TRPV5		
DHX16		
OR10A6		
NLRP10		
LENG1		
LINC01596		
U6		
HSP90AA4P		
ARHGAP11B		
LINC01262		
		
TARM1		
		
TARM1		
FRG1-DT		
RPS9		
MBOAT7		
U6		
Metazoa_SRP		
U1		
U8		
Y_RNA		
Y_RNA		
ARHGAP11A		
		
PCGF7P		
ZNF729		
NAIP		
ZNF676		
HLA-K		
CNOT3		
		
		
HSPA1B		
		
ZNF92P2		
		
MTDHP5		
VN1R85P		
BNIP3P31		
GABBR1		
BNIP3P30		
TRBV12-5		
TRBJ2-2P		
PRSS3P3		
TRBJ1-6		
TRBJ1-5		
TRBV11-2		
TRBV20-1		
		
		
TFPT		
TRBV10-2		
PHLDA2		
SCGB1C2		
LLCFC1		
LENG8		
RDH13		
TRBV9		
PRSS3P1		
LINC02091		
		
CARS1		
TRBC1		
TRBJ2-1		
TSEN34		
IGKV1D-8		
RPH3AL		
PRSS59P		
TLCD2		
IGKV3D-7		
TRPM1		
		
TRPV6		
IGKV1OR2-118		
		
		
WDR81		
		
GP6		
CNOT3		
IGLV3-31		
		
		
IGLV1-40		
		
SLC39A11		
		
ATP9B		
KIR3DX1		
SALL3		
		
ASH2LP1		
KIR3DX1		
		
LL22NC03-63E9.3		
LINC01896		
IGLV3-30		
LILRP2		
LENG1		
TRBV6-7		
IGLV1-44		
PRSS2		
TRBV7-3		
RPS9		
IGLV3-32		
TRBV18		
LAIR1		
MOXD2P		
		
ZNF280B		
NDUFB9P1		
		
PRSS1		
LILRB2		
TAF9		
LENG1		
		
IGLVI-38		
		
IGLV2-34		
		
VSTM1		
TRBV23-1		
RPH3AL-AS1		
		
IGLV5-37		
SLC43A2		
TRBV5-4		
PRSS3P2		
IGLV7-43		
DOC2B		
OR6V1		
OR9P1P		
		
IGLVVII-41-1		
PGBD4P1		
		
TRBJ1-4		
IGLVI-42		
MGAM2		
IGLV1-41		
		
IGLV1-36		
LILRA3		
		
		
LINC02887		
ZNF280A		
U6		
RAD17		
LAIR2		
		
NCF4-AS1		
		
NCF4		
IGLV2-33		
IGLV5-45		
LILRA5		
PATL2		
		
OR9A2		
TRIM69		
TRBV13		
TRBV28		
TRBJ2-2		
LILRB4		
PRAME		
RPS9		
EPHB6		
		
ATP6V1G3		
PVALB		
OSCAR		
LILRB5		
GRK1		
TMEM255B		
LINC00552		
PTPRC		
TJP1		
MYOM2		
RILP		
NLRP7		
SORD2P		
LILRA6		
MIR22HG		
		
B2M		
CDC42EP5		
KIR3DP1		
TFPT		
		
		
NCR1		
		
IGKV1OR2-118		
		
MTRNR2L6		
		
TRBV6-5		
TRBV14		
TRBV12-1		
TRBV4-2		
		
TRBV5-1		
		
PRPF8		
		
TRBJ2-6		
KRT31		
TRBV7-7		
NLRP7		
DDT		
TRBV2		
MGAM		
NDUFA3		
TBC1D3P7		
KRT33A		
KIR2DL2		
NLRP2		
Y_RNA		
Y_RNA		
U1		
KCNQ1		
KRT37		
		
KCNQ1-AS1		
KRTAP16-1		
GSTT1		
		
		
KRT34		
		
TRBV16		
		
TRBVB		
KBTBD11-OT1		
TRBV6-1		
		
NAP1L4		
PRSS58		
HLA-DOB		
SALL3		
KRTAP17-1		
KBTBD11-AS1		
PEBP1P3		
		
		
		
		
LILRA2		
KBTBD11		
IGLV7-35		
		
		
GOLGA8J		
		
KRT33B		
		
		
TRBV24-1		
		
TRBJ2-7		
TRBJ1-3		
LINC01896		
KIR2DL3		
		
Metazoa_SRP		
		
TRBVA		
U8		
		
TRBV26		
GREM1		
		
OR6W1P		
ATP9B		
TRBV4-1		
LILRA1		
ARHGEF10		
TRBC2		
Metazoa_SRP		
		
TRBV8-1		
OR2H2		
TRBV22-1		
TRBV10-3		
HCG17		
		
TRBJ1-1		
TRBJ2-3		
		
		
TRBV7-5		
HLA-DRB3		
TRBJ2-5		
		
TRBV5-6		
MIF-AS1		
TRBV12-2		
TRBV6-4		
		
TRBJ1-2		
		
GSTT2		
TRBD1		
U6		
KIR3DP1		
FAN1		
TRBJ2-4		
TRBV6-2		
TRBV30		
LILRB4		
TRBV12-3		
TRBV3-1		
TRBV8-2		
WBP1LP1		
		
TRBV6-8		
		
TRBV29-1		
		
TRBV6-6		
NLRP7		
		
		
TRBV15		
KIR2DP1		
CHCHD10		
KEL		
		
SCG5		
PRPF31		
GSTT4		
MTMR10		
LILRB2		
U6		
DDTL		
Metazoa_SRP		
		
KIF5C		
KLF13		
ZNF251		
MMP11		
Y_RNA		
Metazoa_SRP		
		
Metazoa_SRP		
Metazoa_SRP		
U8		
Metazoa_SRP		
		
Metazoa_SRP		
Y_RNA		
SERPINF2		
NDUFA3		
		
		
U6		
CNOT3		
TRIM26BP		
CEP72-DT		
LAIR2		
NCR3		
		
CEP72		
LRRC37A2		
MUC6		
SLC9A3		
		
		
GSTT2B		
KIR2DP1		
LENG1		
RN7SL105P		
TFPT		
		
		
LENG9		
MUC2		
		
		
NLRP2		
		
RN7SL268P		
TSBP1-AS1		
TAMM41		
DDX39BP2		
AGPAT1		
		
MAPT-IT1		
		
		
MAPT		
		
		
		
		
RDH13		
		
CNOT3		
		
LINC01238		
GP6		
NLRP7		
		
CDK7		
		
		
LINC02688		
LINC01880		
MARK2P14		
NUP210P2		
CUBNP2		
		
AP2A2		
Metazoa_SRP		
		
MARCHF8		
		
CDKN1C		
VSTM1		
		
KIR3DL3		
OR6D1P		
		
		
ANKRD30BP3		
HLA-DRA		
OR13A1		
CARS1-AS1		
		
COX6CP18		
		
ALOX5		
SLC22A18		
KIR2DP1		
KIR3DP1		
LILRB3		
NLRP2		
		
LILRB4		
LINC00588		
NLRP2		
		
		
		
		
Y_RNA		
Y_RNA		
LINC01606		
RNU6-1025P		
		
MUC20		
NLRP2		
TSEN34		
MBOAT7		
CNOT3		
MUC20-OT1		
U6		
SLC22A18AS		
GAL3ST2		
RPS9		
KCNQ1DN		
		
		
NEU4		
RPL13AP		
MRPS16P3		
U2	U2	ortholog_one2many
		
U1		
		
SNORA54		
APOL5		
PPP1R11		
KIR3DL2		
TARM1		
MROH5		
PLEKHM1		
GP6		
RBFOX2		
LENG1		
		
LINC01300		
NDUFA3		
		
HNRNPA1P38		
		
PTP4A3		
GTF2H2		
OSCAR		
RNU6-1207P		
TNXB		
TRIM15		
OR2J3		
RPS17P1		
		
OR5V1		
		
GPR20		
		
MICD		
		
ARHGAP27		
OR2G1P		
OR14J1		
		
WASF5P		
GPI		
		
PTMAP1		
HLA-V		
TMC4		
VSTM1		
RDH13		
OR11A1		
		
LY6G6F		
KRT18P53		
RPP21		
TSEN34		
		
KIR3DL3		
TMEM183AP1		
PPP2R3B		
PSORS1C1		
RPS9		
HLA-T		
OR2W1		
LINC00685		
LINC01237		
PPP1R11		
FABP5P13		
KRT18P53		
		
		
		
MBOAT7		
		
PPP2R3B		
LILRP1		
		
KIR2DL4		
		
		
		
		
		
FAM240C		
LILRB5		
KIR3DL1		
ERMARD		
NLRP7		
RTP5		
HSPA1L		
PDCD1		
		
MUC4		
RPL7P4		
TRIM31-AS1		
		
PRRT1		
RPL7AP7		
LTB		
IFITM4P		
ZNF90P2		
OR11A1		
OR2B3		
SDHAP2		
HLA-G		
OSCAR		
Metazoa_SRP		
GARRE1		
OR2B3		
LINC01556		
MCCD1		
		
TMPOP1		
		
FLOT1		
PSMB9		
MBOAT7		
OR2AD1P		
KANSL1		
UBQLN1P1		
FABP5P13		
UQCRHP1		
OR10C1		
		
HLA-DQB2		
GP6		
TC2N		
PPP1R18		
GABBR1		
		
		
LILRA6		
TFPT		
		
		
		
		
		
		
NEU1		
TAF4		
KANSL1-AS1		
		
		
		
CDH4		
		
		
KIR3DL1		
		
LRRC37A		
HCG14		
		
LILRA5		
MAS1LP1		
HCG4		
SUMO2P1		
TARM1		
MDC1-AS1		
ZNRD1ASP		
		
		
LINC02825		
		
PPIAP9		
SAPCD1		
GAPDHP26		
SPACA7		
LINC00242		
TAP1		
LINC00574		
LRRC37A3		
		
BAAT		
		
APOM		
DYNLT2		
LILRB1		
SPPL2C		
RPS7P11		
CES1P1		
		
CATSPERB		
LINC02210		
MCCC2		
		
TUBGCP3		
CES5A		
FYTTD1P1		
TRMT112P4		
PLPPR1		
		
	Ighv3-1	ortholog_many2many
	Ighv3-4	ortholog_many2many
	Ighv3-8	ortholog_many2many
	Ighv12-3	ortholog_many2many
	Ighv3-6	ortholog_many2many
	Ighv3-5	ortholog_many2many
	Ighv3-3	ortholog_many2many
LINC01070		
		
		
		
LINC01043		
KANSL1-AS1		
LINC01044		
CEP170		
C4B_2		
		
MAPK8IP1P2		
		
NSFP1		
WNT3		
		
ARMC10		
		
DND1P1		
MDC1-AS1		
		
CHCHD2P2		
UBD		
	Slc6a8	ortholog_one2many
		
		
SPPL2C		
ARHGAP27		
GTF2H2C_2		
LTB		
MAPT-AS1		
KIR2DL2		
ARL17B		
TSEN34		
RPL23AP95		
DPY19L2P2		
POLR3GP1		
		
		
KIR3DL3		
		
		
		
		
		
		
		
NANOGP7		
		
BTNL2		
